lobbyist_action,uid,registrant_name,organization,employer,nature_of_business,subj_num1,subj_1,desc_1,subj_num2,subj_2,desc_2,subj_num_3,subj_3,desc_3,subj_num4,subj_4,desc_4,subj_num5,subj_5,desc_5
SB169/HB33; SB90/HB37; HB551/SB547; HB552/SB549,A027436, Addison  Pruitt," Compass Government Relations Partners, LLC", CTIA- The Wireless Association, Telecommunications,1,Other,Wireless telecommunication,2,Taxes - Miscellaneous,,,,,,,,,,
HB 834,A027438, Jena  Ginsburg, ChargePoint, ChargePoint, Electric vehicle infrastructure,1,Transportation - Generally,,2,Other,Electric vehicle infrastructure,,,,,,,,,
 HB 692/SB 489; HB 1035/Sb 905,A027440, Sarah M. Peters, Husch Blackwell Strategies," Williams Companies, Inc., The", Natural Gas and Related Energy Businesses,1,Energy,Natural Gas,,,,,,,,,,,,
sb90/hb37; hb552/sb549; sb169/hb33; hb551/sb547,A027442, Robert J Garagiola," Compass Government Relations Partners, LLC", CTIA- The Wireless Association, Telecommunications,1,Other,Wireless telecommunication,2,Taxes - Miscellaneous,,,,,,,,,,
" HB109, HB122, HB284/SB222, HB229/SB172, HB478/SB336, HB617, HB712, HB874/SB611, HB892/SB813, HB1085, HB1299, SB 417/HB602, SB471/HB607",A027444, Susan  Zellers, Marine Trades Association of Maryland, Marine Trades Association of Maryland, Association for recreational boating trades,1,Natural Resources - Generally,,2,Environment,,3,Operating Budget,,4,Transportation - Generally,,5,Other,"boating, marine trades, State Boat Act, Waterway Improvement Fund"
SB0224; HB0230; HB0908; SB0613; HB1089,A027445, Jen  Brock, High Street Strategies, Sierra Club Maryland Chapter, Environmental Non Profit,1,Energy,,2,Environment,,3,Private Sector Labor and Industry,,,,,,,
SB 960/HB 611 (Board of Nursing); SB 187/HB 454 (International Nurses/SSN); SB 789/HB 758 and SB 615/HB 759 (Sexual Assault); SB 376/HB 351 (Maternal Health); SB 644/HB 876 (Maternal Health); HB 956 (Maternal Health); SB 760/HB 1055 (Security Guards); Capital budget.,A027447, Jane  Krienke, Maryland Hospital Association, Maryland Hospital Association, Trade Association of Hospitals,1,Health Care Facilities and Regulation,,2,Health Occupations,,3,Capital Budget,,4,Insurance - Health,,5,Education - Miscellaneous,
Legislation,A027449," David H. Carroll, Jr."," Capitol Strategies, LLC", RV Industry Association, Outdoor Recreation,1,Transportation - Generally,,,,,,,,,,,,,
Legislation,A027451, Erin  Appel," Capitol Strategies, LLC", Hayden AI, Traffic Enforcement,1,Transportation - Generally,,,,,,,,,,,,,
Legislation,A027453, Erin  Appel," Capitol Strategies, LLC", RV Industry Association, Outdoor Recreation,1,Transportation - Generally,,,,,,,,,,,,,
Legislation,A027457," David H. Carroll, Jr."," Capitol Strategies, LLC", Hayden AI, Traffic Enforcement,1,Transportation - Generally,,,,,,,,,,,,,
Legislation,A027459, Sushant  Sidh," Capitol Strategies, LLC", RV Industry Association, Outdoor Recreation,1,Transportation - Generally,,,,,,,,,,,,,
Legislation,A027459, Sushant  Sidh," Capitol Strategies, LLC", RV Industry Association, Outdoor Recreation,1,Transportation - Generally,,,,,,,,,,,,,
HB556; HB1204; SB516,A027461, Eleanor Colmers Cowan," Compass Government Relations Partners, LLC", Maryland Health Alternatives Association on behalf of Georgetown Hemp, CBD Retail and Wholesale,1,Business Regulation and Occupations,,,,,,,,,,,,,
HB 16; HB 119; HB 200; HB 201; HB 515; SB 1,A027463, Catherine Jane Hoopes, Maryland Association of Boards of Education, Maryland Association of Boards of Education, Nonprofit professional services organization,1,Education - Miscellaneous,,2,Children,,3,Disabled,,4,Operating Budget,,5,Capital Budget,
SB781; HB793,A027464, Madeline  Voytek," Orsted North America, Inc."," Orsted Wind Power North America, Inc.", Energy,1,Energy,Renewable Energy,,,,,,,,,,,,
"Office of Crime Prevention, Youth, and Victim Services Budget matters",A027466, Christine K Krone," Schwartz, Metz, Wise & Kauffman, P.A."," TurnAround, Inc."," Counseling and support services to those impacted by human trafficking, sexual and intimate partner violence.",1,Social Services - Generally,,,,,,,,,,,,,
"MD Think, HB1124, SB868/HB1065, HB200",A027470, John Carl Fiastro Jr., Fiastro Consulting," Amazon.com Services, LLC", Web Services,1,State Government - Procurement,,,,,,,,,,,,,
"hb908/sb613, sb143/hb68",A027472, John Carl Fiastro Jr., Fiastro Consulting, Arcadia, Digital Energy Brokerage,1,Energy,,,,,,,,,,,,,
DGS Meetings,A027474, John Carl Fiastro Jr., Fiastro Consulting," Schneider Electric Buildings America, Inc.", Design Build Energy Infrastructure,1,State Government - Procurement,,,,,,,,,,,,,
sb801/hb1189,A027476, John Carl Fiastro Jr., Fiastro Consulting," Cybersecurity Association of Maryland, Inc.", Trade Group,1,Other,Cybersecurity,,,,,,,,,,,,
,A027478, John Carl Fiastro Jr., Fiastro Consulting, NTT Data Services, Technology Services,1,State Government - Procurement,,,,,,,,,,,,,
"Office of Crime Prevention, Youth, and Victim Services Budget matters; and Capital Budget matters.",A027480, Andrew  Vetter," Schwartz, Metz, Wise & Kauffman, P.A."," TurnAround, Inc."," Counseling and support services to those impacted by human trafficking, sexual and intimate partner violence.",1,Social Services - Generally,,,,,,,,,,,,,
"hb1214,hb914",A027482, John Carl Fiastro Jr., Fiastro Consulting," NRG Energy, Inc.", Wholesale and residential electicity,1,Energy,,,,,,,,,,,,,
Comptroller,A027484, Hayley  Evans," Evans & Associates, LLC"," BingoRama, Inc.", Bingo,1,Gaming,,2,Taxes - Sales and Use,,,,,,,,,,
Comptroller,A027486, Gerard  Evans," Evans & Associates, LLC"," BingoRama, Inc.", Bingo,1,Gaming,,2,Taxes - Sales and Use,,,,,,,,,,
Capital Budget,A027488, Paul  D Ellington, State and Local Advisors, Glenn L Martin Maryland Aviation Museum, Non Profit MUSEUM,1,Capital Budget,,,,,,,,,,,,,
Capital Budget matter relating to Cambridge,A027490, Paul  D Ellington, State and Local Advisors, City of Cambridge, Municipal Government,1,Capital Budget,,2,Municipalities,,3,Local Government - Generally,,,,,,,
"Energy	
Natural Resources - Generally",A027492, Paul  D Ellington, State and Local Advisors, Optimize Renewables, Renewable and Resilient Energy,1,Energy,,2,Natural Resources - Generally,,,,,,,,,,
Economic and Community Development,A027494, Paul  D Ellington, State and Local Advisors, Greater Crisfield Action Committee, Community Development,1,Economic and Community Development,,,,,,,,,,,,,
Support SB 516/ HB 556,A027496, Daniel  Smith, VS Strategies, LeafLink, ecommerce supply chain,1,Other,Cannabis and related issues,,,,,,,,,,,,
"SB0613 (HB0908/CH0652)	Electricity - Community Solar Energy Generating Systems Program and Property Taxes",A027498, Rory  Murray, Providence Strategies, Lightstar Renewables, Agrivoltaics,1,Environment,Agrivoltaics,,,,,,,,,,,,
House Bill 908; Agrivoltaics Policy; Legislative Tracking,A027500, Michael  Mason, Providence Strategies LLC, Lightstar Renewables, Agrivoltaics,1,Energy,Agrivoltaics,,,,,,,,,,,,
 Income Tax-Captive Real Estate Investment Trusts -Alterations,A027502, Jamie  Gregory, Calfee, Unibail-Rodamco-Westfield, Real estate,1,Real Property,,2,Taxes - Miscellaneous,,,,,,,,,,
,A027504, Jamie  Gregory, Calfee," Omega Flex, Inc", Manufacturer of corrugated flexible metal hose and braid products for the processing industries and other specialized applications.,1,Real Property,,2,Commercial Law - Consumer Protection,,,,,,,,,,
BOOST Scholarships; Budget,A027506, Sarah M. Peters, Husch Blackwell Strategies, Education For All Alliance, Education Advocacy,1,Education - Miscellaneous,BOOST Funding,2,Other,Budget,,,,,,,,,
HB 333,A027508, Jimmy  Tarlau, People's Lobbying Group, Maryland Consumer Rights Coalition," Advance economic rights, consumer protection, and financial inclusion for Maryland residents",1,Insurance - Other than Health,Auto Insurance,2,Health Care Facilities and Regulation,Medical Debt,,,,,,,,,
SB 828/HB 988; SB 160/HB168; SB 420/HB 562; SB 181/HB200; SB 871; SB 872; SB 807/HB 691; SB 100/HB 36; SB 552/HB 547,A027510, Lisa Marie Klingenmaier, Catholic Charities, Catholic Charities, Non-Profit Human Services Organization,1,Social Services - Generally,,2,Operating Budget,,3,Public Health,,4,Elderly,,5,Other,Poverty and Welfare
HB200; HB 201; HB202,A027512, Nicolae Charles Copper," Evans & Associates, LLC"," BingoRama, Inc.", Bingo,1,Gaming,,2,Taxes - Sales and Use,,,,,,,,,,
,A027513, Nicolae Charles Copper," Evans & Associates, LLC"," BingoRama, Inc.", Bingo,1,Gaming,,2,Taxes - Sales and Use,,,,,,,,,,
Monitored budget,A027514, Kevin Scott O'Keeffe, Law Offices of Kevin O'Keeffe," W.W. Grainger, Inc."," retailer, wholesaler supplier",1,State Government - Procurement,,,,,,,,,,,,,
sb 222; hb 284,A027516, Kevin Scott O'Keeffe, Law Offices of Kevin O'Keeffe, PepsiCo, Beverage and Food Company,1,Taxes - Sales and Use,,,,,,,,,,,,,
HB 149; SB 44; HB 414; SB 326; HB 494,A027518, Kevin Scott O'Keeffe, Law Offices of Kevin O'Keeffe, IEC Chesapeake, Trade assn. representing electrical contractors,1,Business Regulation and Occupations,,,,,,,,,,,,,
Capital Budget; Bills impacting DHCD; HB 211; HB 460; HB 500; SB848/HB826; HB 838/SB 643;,A027520, Miranda  Darden-Willems, Maryland Affordable Housing Coalition, Maryland Affordable Housing Coalition, Real Estate,1,Real Property,,,,,,,,,,,,,
"H.B.9/S.B.19 Equity in Transportation Sector - Guidelines and Analyses 

H.B.12/S.B.151 Equitable and Inclusive Transit-Oriented Development Enhancement Act 

H.B.48/S.B.101 Maryland Medical Assistance Program - Collaborative Care Model Services - Implementation and Reimbursement Expansion 

H.B.111/S.B.26 Maryland Medical Assistance Program and Maryland Children's Health Program - Eligibility and Enrollment 

H.B.121/S.B.8 Mental Health - Treatment Plans for Individuals in Facilities and Residence Grievance System 

H.B.200/S.B.181 Operating Budget 

H.B.201/S.B.182 Capital Budget 

H.B.202/S.B.183 Budget Reconciliation and Financing Act 

H.B.214/S.B.281 Commission on Public Health - Establishment 

H.B.271/S.B.3 9-8-8 Trust Fund - Funding 

H.B.274/S.B.387 Task Force on Reducing Emergency Department Wait Times 

H.B.283/S.B.460 Maryland Medical Assistance Program - Gender-Affirming Treatment (Trans Health Equity Act) 

H.B.307/S.B.858 Firearm Safety - Storage Requirements and Youth Suicide Prevention (Jaelynn's Law) 

H.B.321 Cigarette Restitution Fund - Payments for Sale and Marketing of Electronic Smoking Devices - Use 

H.B.322/S.B.255 Public Health - Home- and Community-Based Services for Children and Youth 

H.B.333/S.B.404 Hospitals – Financial Assistance – Medical Bill Reimbursement Process 

H.B.351/S.B.376 Health Occupations – Licensed Direct-Entry Midwives – Previous Cesarean Section 

H.B.359 Interscholastic and Intramural Junior Varsity and Varsity Teams and Sports – Designation Based on Sex (Save Women’s Sports Act) 

H.B.382/S.B.895 Maryland Department of Health and Prescription Drug Affordability Board - Managed Care Organizations and Prescription Drug Claims - Study 

H.B.384/S.B.248 Institutions of Higher Education - Transcripts - Prohibition on Punitive Measures Related to Student Debt 

H.B.454/SB187 Health Occupations - Licenses, Certificates, and Registrations - Lawful Presence and Identification Numbers 

H.B.491/S.B.465 Transportation - Commission to Study Establishing a Baltimore Regional Transit Authority 

H.B.522 Institutions of Postsecondary Education - Institutional Debt - Report 

H.B.549/S.B.555 Fair Wage Act of 2023 

H.B.552/S.B.549 Economic Development - Build Our Future Grant Pilot Program and Fund (Innovation Economy Infrastructure Act of 2023) 

H.B.570 Public Health - Prescription Opioids - Deactivation Systems 

H.B.571/S.B.954 Opioids - Opioid Restitution Advisory Council and Fund and Overdose Response Program 

H.B.573/S.B.263 Maryland Higher Education Commission - Access to Mental Health Advisory Committee - Establishment 

H.B.588/S.B.365 Health Insurance - Qualified Resident Enrollment Program (Access to Care Act) 

H.B.611/S.B.960 State Board of Nursing – Sunset Extension, Licensure Exceptions, and Board Operations and Membership 

H.B.626/S.B.560 Animal Testing and Research - Human-Relevant Research Funding and Animal Testing and Research Contributions 

H.B.675/S.B.493 Commission to Study Trauma Center Funding in Maryland 

H.B.716/S.B.474 Managed Care Organizations - Retroactive Denial of Reimbursement - Information in Written Statement 

H.B.781/S.B.699 Maryland Technology Development Corporation - Equitech Growth Fund and Commission 

H.B.786/S.B.648 Electronic Health Networks and Electronic Medical Records - Nursing Homes - Release of Records 

H.B.808/S.B.859 Reproductive Health Protection Act 

H.B.811/S.B.914 Hospitals – Testing for Fentanyl (The Josh Siems Act) 

H.B.812/S.B.786 Health - Reproductive Health Services - Protected Information and Insurance Requirements 

H.B.823/S.B.480 Mental Health – Assisted Outpatient Treatment Programs 

H.B.923 /S.B.662 Higher Education - Appointment of Secretary and Student Financial Assistance - Accommodations at Public Institutions for Religious Beliefs 

H.B.953/S.B.618 Public Health - Overdose and Infectious Disease Prevention Services Program 

H.B.956 Pregnant and Perinatal Drug Screening and Testing Workgroup 

H.B.988/S.B.828 Family and Medical Leave Insurance Program – Modifications 

H.B.1108 Health Insurance Carriers and Managed Care Organization - Participation on Provider Panels 

H.B.1146 Maryland Medical Assistance Program – Adult and Pediatric Dental Services – Review of Reimbursement Rates 

H.B.1134 Maryland Building Performance Standards – Fossil Fuel Use and Electric–Ready Standards 

H.B.1146 Maryland Medical Assistance Program - Adult and Pediatric Dental Services - Review of Reimbursement Rates 

H.B.1148/S.B.582 Behavioral Health Care - Treatment and Access (Behavioral Health Model for Maryland) 

H.B.1156 Pharmacists - Therapy Management Contract – Form 

H.B.1189/S.B.0801 Economic Development - Cybersecurity - Cyber Maryland Program 
S.B.1 Criminal Law – Wearing, Carrying or Transporting Firearms – Restrictions (Gun Safety Act of 2023) 

S.B.0495 Research Facilities and Testing Facilities That Use Animals - Licensing and Regulation 

S.B.534 Preserve Telehealth Access Act of 2023",A027522, Jeanette  Ortiz, Johns Hopkins, Johns Hopkins, All matters relating to higher education and health care,1,Education - Miscellaneous,,2,Higher Education,,3,Primary and Secondary Education,,4,Health Occupations,,5,Health Care Facilities and Regulation,
Financial support,A027524, Steven  Silverman," SSGOVRELATIONS,LLC", A Wider Circle, Non profit,1,Capital Budget,,2,Operating Budget,,,,,,,,,,
Financial support for Adventist,A027526, Steven  Silverman," SSGOVRELATIONS,LLC"," Adventist HealthCare, Inc.", Health care system,1,Economic and Community Development,,,,,,,,,,,,,
Financial support,A027528, Steven  Silverman," SSGOVRELATIONS,LLC", Quality Time Learning Center, Childcare,1,Children,,2,Operating Budget,,,,,,,,,,
,A027530, Steven  Silverman," SSGOVRELATIONS,LLC", Federal Realty Investment Trust, Real Estate Company,1,Capital Budget,,,,,,,,,,,,,
Just cause legislation,A027532, Steven  Silverman," SSGOVRELATIONS,LLC", Washington Property Companies, Real estate,1,Real Property,,,,,,,,,,,,,
Auto dealer legislation,A027534, Steven  Silverman," SSGOVRELATIONS,LLC", Auto Consumer Alliance, Auto Sales,1,Business Regulation and Occupations,,,,,,,,,,,,,
,A027536, Steven  Silverman," SSGOVRELATIONS,LLC"," High Road Foundation, The", Non profit,1,Transportation - Generally,,,,,,,,,,,,,
HB200/SB181; HB201/SB182; HB202/SB183; HB214/SB516; HB274/SB387; HB351/SB376; HB626/SB560; HB675/SB493; SB495; SB948; HB1108.,A027538, Maria  Tildon, Johns Hopkins, Johns Hopkins, All matters relating to higher education and health care,1,Other,All matters relating to higher education and health care,,,,,,,,,,,,
,A027540, Gerard  Evans," Evans & Associates, LLC"," Evans & Associates, LLC", Lobbying Firm,1,Other,Lobbying,,,,,,,,,,,,
Judiciary and Medical Malpractice Issues,A027542, Gerard  Evans," Evans & Associates, LLC", Medical Mutual Liability Insurance Society of Maryland, Insurance Company,1,Insurance - Health,,2,Other,Medical Malpractice,,,,,,,,,
all workers compensation bills,A027544, Gerard  Evans," Evans & Associates, LLC", Chesapeake Employers' Insurance Company, Insurance,1,Insurance - Other than Health,,2,Workers' Compensation,,,,,,,,,,
"HB 437, HB 57, HB 150, SB 166, HB 225, HB 434, HB 294, HB 460, HB 1109, HB 215, SB 450, HB 458, SB 360, HB 1079",A027546, Hayley  Evans," Evans & Associates, LLC", Prince George's County Council, County Government,1,Local Government - Generally,,2,Education - Local Bills,,3,Education - Miscellaneous,,,,,,,
police related legislation,A027548, Gerard  Evans," Evans & Associates, LLC"," Fraternal Order of Police, Lodge 89", Police Union,1,Public Safety,,,,,,,,,,,,,
"HB 270, SB 452",A027550, Gerard  Evans," Evans & Associates, LLC", Maryland Film Industry Coalition, Film Coalition,1,Taxes - Miscellaneous,,2,Other,Film Industry,,,,,,,,,
Judiciary and Medical Malpractice Issues,A027552, Hayley  Evans," Evans & Associates, LLC", Medical Mutual Liability Insurance Society of Maryland, Insurance Company,1,Insurance - Health,,2,Other,Medical Malpractice,,,,,,,,,
police related legislation,A027554, Hayley  Evans," Evans & Associates, LLC"," Fraternal Order of Police, Lodge 89", Police Union,1,Public Safety,,,,,,,,,,,,,
"HB 437, HB 57, HB 150, SB 166, HB 225, HB 434, HB 294, HB 460, HB 1109, HB 215, SB 450, HB 458, SB 360, HB 1079",A027556, Gerard  Evans," Evans & Associates, LLC", Prince George's County Council, County Government,1,Local Government - Generally,,2,Education - Local Bills,,,,,,,,,,
"HB 270, SB 452",A027558, Hayley  Evans," Evans & Associates, LLC", Maryland Film Industry Coalition, Film Coalition,1,Other,Film Industry,2,Taxes - Miscellaneous,,,,,,,,,,
All workers compensation bills,A027560, Hayley  Evans," Evans & Associates, LLC", Chesapeake Employers' Insurance Company, Insurance,1,Insurance - Other than Health,,2,Workers' Compensation,,,,,,,,,,
"Matters impacting benefits management and administration, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A027562, Jenna  McGreevy, Perry White Ross & Jacobson, SkyGenUSA, Healthcare Company,1,Health Care Facilities and Regulation,,,,,,,,,,,,,
Matters impacting capital budget appropriations.,A027564, Jenna  McGreevy, Perry White Ross & Jacobson, Don Bosco Christo Rey High School and Corporate World Study Program, Private Education,1,Education - Miscellaneous,,,,,,,,,,,,,
"Legislative and budgetary matters impacting the information technology industry, matters of state procurement law, matters of corporate tax policy, matters of employment law and matters of campaign finance law.",A027566, Jenna  McGreevy, Perry White Ross & Jacobson, TrueRoll, Tax Accountability,1,Taxes - Sales and Use,,2,State Government - Procurement,,,,,,,,,,
"Matters impacting health care provision in hospital and related facilities, matters of corporate tax policy, matters of employment law and matters of campaign finance law.",A027568, Jenna  McGreevy, Perry White Ross & Jacobson, Bolton Innovation Group," Employee Benefits, actuarial, investment and compensation consulting",1,Private Sector Labor and Industry,,,,,,,,,,,,,
"Matters impacting benefits management administration, matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A027570, Timothy  A Perry, Perry White Ross & Jacobson, SkyGenUSA, Healthcare Company,1,Health Care Facilities and Regulation,,,,,,,,,,,,,
Matters related to the capital budget.,A027572, Timothy  A Perry, Perry White Ross & Jacobson, Don Bosco Christo Rey High School and Corporate World Study Program, Private Education,1,Education - Miscellaneous,,,,,,,,,,,,,
"Matters of corporate tax policy, matters of employment law, matters of campaign finance law.",A027574, Timothy  A Perry, Perry White Ross & Jacobson, Bolton Innovation Group," Employee Benefits, actuarial, investment and compensation consulting",1,Private Sector Labor and Industry,,,,,,,,,,,,,
,A027576, Gregory S. Proctor Jr.," G.S. Proctor & Associates, Inc."," Proctor Group, The", Consulting Services,1,Other,To monitor all issues pertaining to economic development and additional funding for the old Cheverly Hospital Center.,,,,,,,,,,,,
,A027578, Tim E. Braue, Old Line Government Affairs LLC, Healthcare Distribution Alliance, Healthcare,1,Other,healthcare,,,,,,,,,,,,
"Legislative and budgetary matters impacting the information technology industry, matters of state procurement law, matters of corporate tax and governance, matters of employment law.",A027580, Timothy  A Perry, Perry White Ross & Jacobson, TrueRoll, Tax Accountability,1,Taxes - Sales and Use,,2,State Government - Procurement,,,,,,,,,,
,A027582, Tim E. Braue, Old Line Government Affairs LLC," Alliance InfoSystems, LLC", computer consulting,1,Other,computer consulting,,,,,,,,,,,,
,A027584, Sherry Dudley Nickerson, Old Line Government Affairs LLC, Healthcare Distribution Alliance, Healthcare,1,Other,healthcare,,,,,,,,,,,,
,A027586, American Joe  Miedusiewski, Old Line Government Affairs LLC, Healthcare Distribution Alliance, Healthcare,1,Other,healthcare,,,,,,,,,,,,
,A027588, Sherry Dudley Nickerson, Old Line Government Affairs LLC," Alliance InfoSystems, LLC", computer consulting,1,Other,computer consulting,,,,,,,,,,,,
,A027590, John A Pica Jr.," Pica & Associates, LLC"," Pica & Associates, LLC", Law Firm & Lobbyist,1,Other,Monitoring Legislation,,,,,,,,,,,,
,A027592, Elizabeth  Pujolas," Horizon Therapeutics USA, Inc.", Horizon Therapeutics, Biotechnology,1,Other,Healthcare; Pharmaceuticals,,,,,,,,,,,,
,A027594, Hayley  Cassedy, Rifkin Weiner Livingston LLC, Rifkin Weiner Livingston LLC, Law Firm,1,Other,Lobbying,2,Other,Grants,3,Other,Procurement,,,,,,
HB 39; HB 46; HB 142; HB 211; HB 337; HB 547; HB 708; HB 730; HB 1064; HB 140; HB 181; HB 318; HB 349; HB 398; HB 489; HB 490; HB 549; HB 724; HB 725; HB 988; HB 1015; HB 1256; SB 869; HB 988; HB 124; HB 1057; SB 659; SB 660; SB 576; SB 261; SB 432; SB 461; SB 136; SB 604; SB 180; SB 230; SB 555; SB 670; SB 468; SB 828; SB 902; SB 803; SB 19,A027596, Christopher  Meyer, Maryland Center on Economic Policy,, Research and analysis on state budget and fiscal and economic policy topics,1,Taxes - Miscellaneous,"State taxes generally, including personal income, corporate income, sales, others.",2,Private Sector Labor and Industry,,3,Operating Budget,,4,Education - Miscellaneous,"Public school funding, higher education funding",5,Social Services - Generally,
HB 76; HB 96; SB 93; HB 1180; SB 850,A027598, Emily  Virgin, Human Rights for Kids, Human Rights for Kids, human rights non-profit organization,1,Juvenile Law,,2,Criminal Law - Procedure,,3,Criminal Law - Substantive Crimes,,,,,,,
Other,A027600, Shannah Lynn Minderlein, Bellamy Genn Group, Everytown for Gun Safety Action Fund, Non-Profit; Gun violence reduction,1,Public Safety,,2,Criminal Law - Procedure,,3,Civil Actions and Procedures,,,,,,,
Other,A027602, Shannah Lynn Minderlein, Bellamy Genn Group, Living Classrooms Foundation, Education,1,Capital Budget,,2,Education - Miscellaneous,,,,,,,,,,
Other,A027604, Shannah Lynn Minderlein, Bellamy Genn Group, Compassion & Choices Action Network, Nonprofit,1,Public Health,,2,Other,End of Life Options,,,,,,,,,
Other,A027606, Shannah Lynn Minderlein, Bellamy Genn Group," Bellamy Genn Group, LLC", Government Relations,1,Other,All matters pertaining to clients,,,,,,,,,,,,
Other,A027608, Shannah Lynn Minderlein, Bellamy Genn Group, Kaiser Permanente, Health Care,1,Health Care Facilities and Regulation,,2,Health Occupations,,3,Insurance - Health,,,,,,,
Other,A027610, Shannah Lynn Minderlein, Bellamy Genn Group, American Forest & Paper Association, Energy/Paper Products,1,Energy,,2,Environment,,3,Commercial Law - Generally,,,,,,,
Other,A027612, Shannah Lynn Minderlein, Bellamy Genn Group," Arc Central Chesapeake Region, The", intellectual and developmental disabilities,1,Capital Budget,,2,Disabled,,3,Human Relations,,,,,,,
Other,A027614, Shannah Lynn Minderlein, Bellamy Genn Group, Wine Institute," Initiate and advocate public policy that enhances the ability to responsibly produce, promote and enjoy wine",1,Alcoholic Beverages - Local Bills,,2,Alcoholic Beverages - Statewide Bills,,3,Taxes - Sales and Use,,,,,,,
Other,A027616, Shannah Lynn Minderlein, Bellamy Genn Group," Daily Record, The", Newspaper,1,Other,Newspaper Matters,,,,,,,,,,,,
Supported the Promoting Offshore Wind Energy Resources Act (HB793/SB781);  Supported the Climate Superfund Act (HB0915/SB0843); Supported the Reclaim Renewables Act (SB0590/HB0718); Supported Energy Savings Act (HB904/SB689); Supported Community Solar Act (SB0613/HB0908),A027618, James William DeMarco, Chesapeake Climate Action Network Action Fund, Chesapeake Climate Action Network Action Fund, Non-profit advocacy organization,1,Energy,Legislation to promote offshore wind energy in Maryland,2,Environment,Creating a superfund for climate damages,3,Energy,Reforming the EmPOWER Program,4,Energy,Taking dirty sources of energy out of Maryland's RPS,5,Energy,Making Community Solar Permanent
Time To Care (Family & Medical Leave); Fight For Fifteen (Min. Wage); Child Care,A027620, Terrence James Cavanagh, SEIU Maryland / DC State Council, SEIU Maryland & DC State Council, Labor Organization,1,Business Regulation and Occupations,"collective bargaining, Nursing homes, hospitals",2,Environment,"prevailing wages, elimination of harmful airborne pathigens",3,Taxes - Miscellaneous,Fair taxes,4,Private Sector Labor and Industry,"collective bargaining, family and medical leave",5,State Government - Personnel,collective bargaining
legal services; funding;,A027622, Rylie Elizabeth Shewbridge, Bellamy Genn Group LLC, Maryland Legal Services Corporation, Non-Profit Foundation Funding Legal Services,1,Other,Legal Services; Courts; Etc.,,,,,,,,,,,,
end of life option,A027624, Rylie Elizabeth Shewbridge, Bellamy Genn Group LLC, Compassion & Choices Action Network, Nonprofit,1,Other,End of Life Option,,,,,,,,,,,,
health care policy;,A027626, Rylie Elizabeth Shewbridge, Bellamy Genn Group LLC, Kaiser Permanente, Health Care,1,Other,Health Care,,,,,,,,,,,,
funding; library access; education; etc.,A027628, Rylie Elizabeth Shewbridge, Bellamy Genn Group LLC, Enoch Pratt Free Library, Nonprofit Library,1,Other,Budget,2,Other,"Library Access, Education, etc.",,,,,,,,,
social justice;,A027630, Rylie Elizabeth Shewbridge, Bellamy Genn Group LLC, ACLU of Maryland, Non-profit,1,Other,Social Justice,,,,,,,,,,,,
legal services; funding;,A027632, Rylie Elizabeth Shewbridge, Bellamy Genn Group LLC, Maryland Legal Aid, Legal Service for Indigents,1,Other,Legal Services,,,,,,,,,,,,
public notice; EPR;,A027634, Rylie Elizabeth Shewbridge, Bellamy Genn Group LLC," Daily Record, The", Newspaper,1,Other,Public Notice,,,,,,,,,,,,
EPR; alcohol policy;,A027636, Rylie Elizabeth Shewbridge, Bellamy Genn Group LLC, Wine Institute," Initiate and advocate public policy that enhances the ability to responsibly produce, promote and enjoy wine",1,Other,Alcohol,,,,,,,,,,,,
education policy; funding;,A027638, Rylie Elizabeth Shewbridge, Bellamy Genn Group LLC, Living Classrooms Foundation, Education,1,Other,Education,2,Other,Budget,,,,,,,,,
funding; intellectual and developmental disabilities; etc.,A027640, Rylie Elizabeth Shewbridge, Bellamy Genn Group LLC," Arc Central Chesapeake Region, The", intellectual and developmental disabilities,1,Other,Intellectual and Developmental Disability Advocacy,2,Other,Budget,,,,,,,,,
advocacy/lobbying legislative and executive,A027642, Rylie Elizabeth Shewbridge, Bellamy Genn Group LLC," Bellamy Genn Group, LLC", Government Relations,1,Other,Lobbying,2,Other,Executive and Legislative Lobbying,,,,,,,,,
EPR,A027644, Rylie Elizabeth Shewbridge, Bellamy Genn Group LLC, American Forest & Paper Association, Energy/Paper Products,1,Other,Paper Related Issues,,,,,,,,,,,,
"Affordable housing, etc.",A027646, Rylie Elizabeth Shewbridge, Bellamy Genn Group LLC, Chesapeake Neighbors," Quality, affordable, accessible housing",1,Other,Accessible housing,,,,,,,,,,,,
HB1021,A027648, Drusilla  Schmidt-Perkins, NA, Maryland Public Interest Research Group, Non profit,1,Energy,Clean Lighting - end fluorescent bulbs,,,,,,,,,,,,
,A027650, Mikaila  Ventrudo, Mikaila Ventrudo," One Call Concepts, Inc.", Telecommunications & underground utility damage prevention call center,1,Other,any and all legislative and executive matters concerning One Call Concepts and Miss Utility,,,,,,,,,,,,
,A027652, Michael E Arrington, Capitol Connections, Isiah Thomas International, Alcohol Beverage Wholesaler,1,Alcoholic Beverages - Local Bills,,2,Alcoholic Beverages - Statewide Bills,,,,,,,,,,
,A027654, Michael E Arrington, Capitol Connections, Bogue Sound Distillery, Alcohol Manufacturer,1,Alcoholic Beverages - Local Bills,,2,Business Regulation and Occupations,,,,,,,,,,
